title,url,stage,day,time,lfm_id
Duke Special,http://www.dukespecial.com/,ACOUSTIC STAGE,FRIDAY,16:25 - 17:05,6652413
Duncan Disorderly,http://www.the-scallywags.co.uk/,SMALL WORLD STAGE,THURSDAY,20:15 - 21:30,1140174
Dungeon Meat,,NYC DOWNLOW,SATURDAY,04:30 - 06:00,85881056
Dynamix,http://www.dynamix.coop,BELLA'S FIELD,THURSDAY,15:00 - 17:00,1190319
East India Youth,http://eastindiayouth.co.uk/,WILLIAM'S GREEN,SUNDAY,19:00 - 19:40,78914354
Eat Static,http://www.eatstatic.co.uk/,GLADE,FRIDAY,21:00 - 22:15,1011057
Eats Everything,,NYC DOWNLOW,SATURDAY,22:00 - 23:30,52385899
Eaves,https://www.facebook.com/Eaves,THE PARK STAGE,SATURDAY,12:00 - 12:40,1162741
Ed Solo and Deekline,https://soundcloud.com/edsol,HEAVEN,THURSDAY,22:00 - 23:00,53100306
Ed Solo,http://soundcloud.com/edsolo,THE SPACEPORT,FRIDAY,21:00 - 22:00,1160460
Ekkah,https://www.facebook.com/WEAREEKKAH,BBC INTRODUCING,SATURDAY,17:20 - 17:45,87297843
El Hijo de la Cumbia,http://www.elhijodelacumbia.com.ar/,LA PUSSY PARLURE,SUNDAY,01:45 - 02:30,20875068
Eleanor Tiernan,,CABARET,FRIDAY,18:10 - 18:40,49828076
Elise Yuill,http://www.eliseyuill.com/index.php,SMALL WORLD STAGE,SUNDAY,12:00 - 13:00,88682359
Elito Reve y su Charangon,http://www.orquestareve.net/en/index.html,GLASTO LATINO,SATURDAY,00:00 - 01:30,16919731
Ella Eyre,http://www.ellaeyre.com/,OTHER STAGE,SATURDAY,16:05 - 17:05,81367955
Elle,http://www.pocketbelles.com,THE BANDSTAND,FRIDAY,16:00 - 16:50,1331115
Elle and the Pocket Belles,http://www.pocketbelles.com,CROISSANT NEUF,THURSDAY,22:30 - 23:15,83725797
Ellie Rose,http://ellierose.co.uk/,BBC INTRODUCING,SATURDAY,12:40 - 13:05,44889007
Elve,,BABYLON UPRISING,SATURDAY,21:00 - 22:00,2128759
Emika,http://emikarecords.com,GLADE,SATURDAY,18:30 - 19:30,17780755
Emily Bee,,CABARET,FRIDAY,21:40 - 21:45,96738795
Enter Shikari,http://www.entershikari.com/,JOHN PEEL STAGE,FRIDAY,22:45 - 23:45,10049518
Eric Bibb,http://www.ericbibb.com/,ACOUSTIC STAGE,SUNDAY,18:30 - 19:30,1057118
Erol Alkan,http://shop.phantasysound.co.uk/pages/erol-alkan,THE BEAT HOTEL,FRIDAY,01:00 - 03:00,2039553
Ese,http://www.esemusic.net,TOAD HALL,WEDNESDAY,22:00 - 22:45,1255523
Eugene,,JAG'Z ACID LOUNGE,SATURDAY,23:00 - 00:30,1157305
Everything Everything,http://www.everything-everything.co.uk/,WILLIAM'S GREEN,SATURDAY,14:30 - 15:10,22655451
Ewan Pearson,http://ewanpearson.com/,THE BEAT HOTEL,THURSDAY,22:00 - 00:00,1306538
External Combustion,http://www.externalcombustion.com/index.php,GLEBELAND,FRIDAY,00:55 - 01:05,57660850
Fabio,,LONDON UNDERGROUND,FRIDAY,22:45 - 00:30,1034936
Faces of Disco,,THE SUMMER HOUSE,FRIDAY,18:15 - 18:45,53678660
fanny tastic,,DELUXE DINER,Saturday,21:30 - 23:00,74225746
Fast Eddie,http://www.djfasteddie.com/,THE CAVE,SATURDAY,01:00 - 02:00,1063913
Fat White Family,https://fatwhitefamily.bandcamp.com/,HELL STAGE,SATURDAY,03:25 - 04:30,73640033
Fatboy Slim,,THE BLUES,SATURDAY,01:30 - 03:00,4241
Father Funk,https://fatherfunkmusic.wordpress.com/,HEAVEN,SUNDAY,04:00 - 05:00,74892828
Father John Misty,http://www.fatherjohnmisty.com/,THE PARK STAGE,SATURDAY,18:30 - 19:30,73516142
Fatt Matt,http://www.lunarcircus.com,SENSATION SEEKERS STAGE,FRIDAY,15:10 - 15:40,11603814
Feel the Real Soundsystem,https://www.facebook.com/pages/Feel-The-Real-Soundsystem/156120261149890,THE BLUES,SUNDAY,01:00 - 02:30,68810669
Felix Dickinson,,GENOSYS,SATURDAY,04:30 - 06:00,22438917
FERAL is KINKY,,THE TEMPLE,THURSDAY,21:00 - 22:00,73438330
Ferocious Dog,http://www.ferociousdog.co.uk/,AVALON STAGE,SUNDAY,14:00 - 14:55,67694225
FFS,http://www.ffsmusic.com/,JOHN PEEL STAGE,SUNDAY,22:05 - 23:15,10695634
Field Studies,https://www.facebook.com/fieldstudiesband,BBC INTRODUCING,SUNDAY,15:45 - 16:10,15609408
Film,,SPEAKERS FORUM,THURSDAY,18:30 - 19:30,1009926
Fire Fingers,http://www.fire-fingers.com,A LITTLE MORE SENSATION,FRIDAY,00:20 - 00:50,51820441
Fish Sticks,,WANGO RILEY'S TRAVELLING STAGE,SUNDAY,19:30 - 20:15,21895075
FKA twigs,http://fkatwi.gs/#congregata,WEST HOLTS,SUNDAY,20:30 - 21:30,85266163
Flamingods,http://www.flamingods.bandcamp.com/,WEST HOLTS,SUNDAY,11:30 - 12:30,59821501
Fleetmac Wood,,STONEBRIDGE,SUNDAY,18:00 - 20:00,78641739
Flight Brigade,http://www.flightbrigade.com/,THE BANDSTAND,SUNDAY,22:10 - 23:00,61284976
Flight Facilities,http://flightfacilities.com/,SONIC,FRIDAY,18:45 - 20:00,51962587
Flipron,http://www.flipron.co.uk,THE BANDSTAND,SUNDAY,19:30 - 20:20,9966006
Flo Morrissey,http://flomorrissey.tumblr.com/,THE PARK STAGE,SATURDAY,11:00 - 11:40,74830996
Florence,http://florenceandthemachine.net,PYRAMID STAGE,FRIDAY,19:15 - 20:25,1296148
Flying Lotus,http://flying-lotus.com/youre-dead/,WEST HOLTS,SUNDAY,22:00 - 23:15,12828160
Foghorn Leghorn,https://soundcloud.com/foghorn-leghorn-1,SMALL WORLD STAGE,WEDNESDAY,21:45 - 23:00,9902976
Fold,,GENOSYS,SUNDAY,03:30 - 05:00,1319089
Foo Fighters,http://foofighters.com,PYRAMID STAGE,FRIDAY,21:15 - 23:45,1000062
Forcenra,http://www.forcenra.com/,ANCIENT FUTURES,THURSDAY,23:00 - 00:00,42195110
Foreign Affairs,http://www.foreignaffairsmusic.co.uk,AVALON CAFÉ STAGE,SUNDAY,10:30 - 11:15,1189391
Foreign Beggars,,ARCADIA,SATURDAY,21:00 - 22:00,1021579
Four Tet,http://www.fourtet.net/,WOW!,SUNDAY,20:00 - 22:00,2247
Frank Sanazi,http://www.franksanazi.com,CABARET,SATURDAY,22:45 - 23:05,15983591
Frank Turner,http://frank-turner.com/,OTHER STAGE,SATURDAY,12:00 - 13:00,6792875
Frankie Francis,http://www.sofrito.co.uk/,HMS SWEET CHARITY,SATURDAY,04:00 - 05:00,18071751
Fraser Hooper,http://www.fraserhooper.com,SENSATION SEEKERS STAGE,FRIDAY,13:05 - 13:35,91587729
Fred V,http://www.fredvandgrafix.com/,THE SPACEPORT,FRIDAY,02:00 - 03:00,49271137
Free Like Me,http://www.freelikeme.com.au,THE BANDSTAND,SATURDAY,16:00 - 16:50,66587459
Freestylers,http://freestylersmusic.co.uk/,GLADE,FRIDAY,19:35 - 20:35,1017196
Frei Zinger,,CROISSANT NEUF BANDSTAND,WEDNESDAY,11:00 - 12:00,1139560
Frisky,http://www.friskyandmannish.co.uk,SENSATION SEEKERS STAGE,FRIDAY,16:35 - 17:05,1298428
Funkshy,,THE LIZARD STAGE,WEDNESDAY,23:00 - 01:00,82103202
Furs,http://www.fursband.co.uk/,WILLIAM'S GREEN,SATURDAY,10:30 - 11:10,16403783
Fuse ODG,http://www.fuseodg.com/,SONIC,FRIDAY,22:00 - 22:45,55682003
Future Islands,http://www.future-islands.com/,OTHER STAGE,SUNDAY,17:15 - 18:15,13917647
Gaea Knight,https://www.facebook.com/gaea.knight,MANDALA STAGE,WEDNESDAY,01:00 - 02:00,78522423
Gaudi,http://gaudimusic.com/,GLADE,SUNDAY,00:05 - 01:55,1974
Gaz Brookfield,http://www.gazbrookfield.com,AVALON CAFÉ STAGE,SUNDAY,17:30 - 18:15,14162709
Gaz Coombes,http://www.gazcoombes.com/#01MqRft8RK13YMj4.97,THE PARK STAGE,SATURDAY,15:30 - 16:30,36797121
Gazzo,http://www.gazzoshow.com,THE PAVEMENT,FRIDAY,19:10 - 19:40,2072215
Gecko,,GREENPEACE,THURSDAY,16:00 - 16:45,1192520
Gemma Rogers,http://gemandthemilmen.com,RABBIT HOLE,SATURDAY,16:30 - 17:00,32907224
Gengahr,http://www.gengahr.com/,JOHN PEEL STAGE,SUNDAY,11:40 - 12:20,89357288
Gentleman George,,THE ROCKET LOUNGE,Thursday,23:00 - 00:00,19851315
George Ezra,http://www.georgeezra.com,PYRAMID STAGE,SATURDAY,15:00 - 16:00,77575397
George Fitzgerald,,THE BEAT HOTEL,SATURDAY,22:45 - 00:30,42424880
George Orange,http://georgeorange.com/,THE PAVEMENT,FRIDAY,14:50 - 15:20,76150769
George The Poet,http://georgethepoetblog.tumblr.com/,SONIC,SUNDAY,16:30 - 17:30,75292800
Gerd Janson,http://www.residentadvisor.net/dj/gerdjanson,WOW!,FRIDAY,01:00 - 03:00,17673775
Gertie,http://www.facebook.com/gaygertie,HMS SWEET CHARITY,THURSDAY,02:00 - 03:00,12507572
Gertie,http://www.facebook.com/gaygertie,HMS SWEET CHARITY,SATURDAY,03:00 - 04:00,12507572
Ghetto Funk Allstars,,THE HOUSE OF COME ONS,SATURDAY,03:00 - 04:00,65001211
Ghost Lights,https://m.youtube.com/watch?v=gjhqrnr8Q_k,THE RUM SHACK,THURSDAY,21:00 - 22:00,18768468
Giant Sand,http://howegelb.com/,THE PARK STAGE,SATURDAY,14:10 - 15:00,1018476
Gideon,,GENOSYS,FRIDAY,00:00 - 01:30,1054936
Giovanna,,GREENPEACE,SUNDAY,14:00 - 14:40,6719233
Gipsydelica,,THE LIZARD STAGE,THURSDAY,23:00 - 00:30,33509225
Glass Animals,http://glassanimals.eu/,THE PARK STAGE,FRIDAY,15:30 - 16:30,43111396
Glyn Famous,,NYC DOWNLOW,THURSDAY,00:25 - 00:30,83365071
Goat,http://goatsweden.blogspot.co.uk/,THE PARK STAGE,SUNDAY,21:00 - 22:15,1028961
Gold Dubs,,BABYLON UPRISING,SATURDAY,23:00 - 00:00,82247610
Goldie,http://www.goldie.co.uk/,THE BLUES,FRIDAY,22:00 - 23:30,2076
Goldmaster Allstars,http://www.goldmasterallstars.com/,THE ROCKET LOUNGE,Friday,04:00 - 05:00,2024972
Gonne Choi,http://iamgonne.com/,GULLY,FRIDAY,13:30 - 14:30,96174634
Goodnight Lenin,,CROISSANT NEUF BANDSTAND,FRIDAY,18:30 - 19:00,54801290
Gorgon City,http://www.gorgoncity.com/,SONIC,SATURDAY,21:15 - 22:15,75654265
GotSome,https://www.facebook.com/gotsomemusic,SONIC,FRIDAY,14:00 - 15:30,85894019
Gramski,,POETRY&WORDS,FRIDAY,16:35 - 16:55,14572615
Grandmaster Flash,http://www.grandmasterflash.com/,SONIC,SUNDAY,23:00 - 00:00,4269
Grant-Lee Phillips,http://www.grantleephillips.com/,ACOUSTIC STAGE,SUNDAY,14:30 - 15:10,1013566
Grantly,,GLADE LOUNGE,SATURDAY,19:30 - 21:00,13953219
Gravity Drive,http://www.thegravitydrive.com,TOAD HALL,SATURDAY,15:00 - 16:00,36872377
Greg Belson,,NYC DOWNLOW,THURSDAY,20:00 - 21:30,16469152
Greg Wilson,http://www.gregwilson.co.uk/,THE BEAT HOTEL,SUNDAY,17:30 - 19:00,6732448
Gregory Porter,http://www.gregoryporter.com/,WEST HOLTS,SATURDAY,17:00 - 18:00,14369045
Gretchen Peters,http://www.gretchenpeters.com/,ACOUSTIC STAGE,SUNDAY,16:20 - 17:05,2034752
Gringo Ska,http://www.gringoska.co.uk,AVALON CAFÉ STAGE,SATURDAY,22:30 - 23:30,33424114
Groove Armada,http://www.groovearmada.com/,THE BEAT HOTEL,SUNDAY,19:00 - 20:30,1000230
Groovy Guy,http://www.groovyguyshow.com,THE PAVEMENT,FRIDAY,15:25 - 15:55,19066878
Guns of Navarone,http://www.wearetheguns.com/theband.aspx,THE ROCKET LOUNGE,Wednesday,22:00 - 00:00,6755136
Guy Williams,,THE DOWNLOW RADIO,FRIDAY,03:00 - 04:30,10775600
Gypsy Hill,,THE HOUSE OF COME ONS,THURSDAY,00:00 - 01:00,46713329
Gypsydelica,,GREENPEACE/ THE ENGINE ROOM,SUNDAY,00:00 - 02:00,29224959
Habadekuk,http://www.habadekuk.dk/,AVALON STAGE,SATURDAY,15:45 - 16:45,32933632
Hannah Holland,,THE DOWNLOW RADIO,THURSDAY,20:00 - 23:00,10790763
Hannah Wants,,ARCADIA,SUNDAY,19:00 - 20:00,67152047
Hari Mau Matt,https://soundcloud.com/tribeoffrog/hari-mau-matt-recorded-at-tribe-of-frog-november-2013,GLADE LOUNGE,THURSDAY,19:30 - 21:00,99031592
Harry Baker,http://www.harrybaker.co,POETRY&WORDS,FRIDAY,15:45 - 16:05,70302692
Hattie Hatstar,http://www.hattie.biz,SMALL WORLD STAGE,WEDNESDAY,18:30 - 19:30,10430769
Hayley Mckay,http://www.hayleymckay.co.uk,TOAD HALL,WEDNESDAY,18:10 - 18:50,49054349
Hazel Soze,https://www.facebook.com/djhazelmusic,THE BLUES,SATURDAY,14:00 - 15:30,92833366
Heal The Last Stand,http://www.healthelaststand.com/,SMALL WORLD STAGE,THURSDAY,14:45 - 15:45,33417711
Heavenly Jukebox,,STONEBRIDGE,THURSDAY,20:30 - 22:00,42825848
Henry,https://www.facebook.com/peter.culture,THE BLUES,SUNDAY,20:30 - 22:00,1011646
Herbert live,http://matthewherbert.com/,SONIC,SATURDAY,15:00 - 16:15,21321874
Hiatus Kaiyote,http://hiatuskaiyote.com/,LA PUSSY PARLURE,SATURDAY,01:45 - 03:00,71140158
High Contrast,http://www.highlycontrasting.com,THE SPACEPORT,FRIDAY,01:00 - 02:00,1583
Hinds,http://hinds.bandcamp.com/,JOHN PEEL STAGE,FRIDAY,12:00 - 12:40,32971819
Hip Hop Karaoke,,STONEBRIDGE,SATURDAY,16:00 - 18:00,27393554
Hiroki Okano,http://www.seventhwavemusic.co.uk/,MANDALA STAGE,THURSDAY,18:00 - 19:00,6673987
HMS Morris,http://hmsmorrisband.bandcamp.com/,BBC INTRODUCING,FRIDAY,13:45 - 14:10,82568830
Hobbit,,GREENPEACE,SATURDAY,13:30 - 14:00,1015914
hobo jones,http://www.ade2000.pwp.blueyonder.co.uk/hobojones/,AVALON STAGE,FRIDAY,13:00 - 13:55,34996595
Hobo Jones and the Junkyard Dogs,,AVALON CAFÉ STAGE,SATURDAY,00:00 - 01:00,26859616
Hodge,https://www.facebook.com/Hodgebristol,WOW!,THURSDAY,22:00 - 23:00,11179372
hodmadoddery,http://www.Hodmadoddery.co.uk,THE BANDSTAND,THURSDAY,14:00 - 15:00,14146594
Honey Dijon,,NYC DOWNLOW,FRIDAY,00:30 - 01:55,10975455
Hooton Tennis Club,https://www.facebook.com/HootonTennisClub,WILLIAM'S GREEN,FRIDAY,15:30 - 16:10,84148732
Hospital Records,https://hospitalrecords.com/,HEAVEN,SATURDAY,12:00 - 14:00,1104873
Hostage,https://soundcloud.com/alanparley,THE CAVE,SATURDAY,04:00 - 05:00,6604106
Hot Chip,http://www.hotchip.co.uk/,WEST HOLTS,FRIDAY,22:15 - 23:45,1275756
Hot Tin Roofs,http://www.thehottinroofs.co.uk,CROISSANT NEUF,THURSDAY,23:45 - 01:00,100222858
Hozier,http://hozier.com/,PYRAMID STAGE,SUNDAY,13:00 - 13:45,83715978
Hue Jah Fink,,LONDON UNDERGROUND,THURSDAY,01:45 - 03:00,10728143
Husband,,THE DOWNLOW RADIO,SUNDAY,00:00 - 01:30,10283643
Hype,,THE BLUES,SUNDAY,13:00 - 14:30,1209582
Hyper-On Experience,,LONDON UNDERGROUND,THURSDAY,23:00 - 00:30,1050797
I Am Kloot,http://www.iamkloot.com/,AVALON STAGE,SATURDAY,21:45 - 22:45,1217
Ibeyi,http://www.ibeyi.fr/,THE PARK STAGE,SATURDAY,13:00 - 13:45,81487285
Ibibio Sound Machine,http://www.ibibiosoundmachine.com/,WEST HOLTS,SUNDAY,13:00 - 14:00,80643473
Idiotape,http://idiotape.com/,LA PUSSY PARLURE,THURSDAY,22:00 - 22:50,54107268
Idlewild,http://idlewild.co.uk/,AVALON STAGE,SUNDAY,21:25 - 22:25,1000505
Idris Elba,http://www.driis.com/,SONIC,SATURDAY,17:45 - 19:15,27206989
In Light Of Aquarius,,STONEBRIDGE,SATURDAY,20:00 - 22:00,76607503
Inari,,BABYLON UPRISING,FRIDAY,19:00 - 20:00,1074877
INDEE STYLA,https://www.facebook.com/indee.styla,GLADE,SATURDAY,16:00 - 17:00,66051061
India Electric Co,http://www.indiaelectricco.com,AVALON CAFÉ STAGE,THURSDAY,17:30 - 18:15,89796957
Indiana,https://www.facebook.com/indianathegirl,SONIC,SATURDAY,16:45 - 17:30,1070025
INU,,THE BANDSTAND,WEDNESDAY,19:15 - 20:15,1315545
Invisible System,http://www.invisiblesystem.com,THE SPIKE,SATURDAY,16:00 - 18:00,15262068
Ipcress,,GLADE LOUNGE,FRIDAY,22:00 - 23:30,15380963
Isolde Freeth-Hale,https://soundcloud.com/isolde-freeth-hale,MANDALA STAGE,FRIDAY,21:00 - 22:00,98979798
Isolde,,ANCIENT FUTURES,THURSDAY,15:30 - 16:30,11681525
It's a String Thing,,ANCIENT FUTURES,FRIDAY,18:30 - 19:00,60740987
Izzy Bizu,http://izzybizu.com/,LA PUSSY PARLURE,SATURDAY,13:30 - 14:30,84019347
Jack Campbell,http://www.jackcampbellcomedian.com/,CABARET,FRIDAY,14:15 - 14:45,33597955
Jack Garratt,http://jackgarratt.com/,THE PARK STAGE,SUNDAY,13:00 - 13:40,19658967
Jack Rabbit Slim,,DELUXE DINER,Wednesday,20:00 - 22:00,10024757
Jack Robert Hardman,http://www.jackroberthardman.co.uk,RABBIT HOLE,SATURDAY,13:00 - 13:30,32069187
Jack Savoretti,http://www.jacksavoretti.com,ACOUSTIC STAGE,SUNDAY,20:00 - 21:00,15562911
Jack Tyson Charles,https://www.facebook.com/JackTysonCharles,RABBIT HOLE,FRIDAY,22:00 - 22:45,78814027
Jackmaster,,GREENPEACE/ THE ENGINE ROOM,THURSDAY,02:00 - 03:00,10045901
Jacky Murda,,SALON CAROUSEL,FRIDAY,04:00 - 05:00,7010665
Jagz Kooner,http://www.jagzkooner.co.uk,JAG'Z ACID LOUNGE,FRIDAY,01:30 - 04:00,1072917
Jah Shaka,,LONDON UNDERGROUND,SUNDAY,00:00 - 05:00,334
Jake Isaac,http://mrjakeisaac.wix.com/jakeisaac,LA PUSSY PARLURE,FRIDAY,19:30 - 20:30,53967425
Jakl,https://www.facebook.com/jaklmusic,RABBIT HOLE,THURSDAY,20:00 - 20:30,50846019
Jalapeno Sound System,,HEDS PARTY IN SONIC,THURSDAY,00:00 - 04:00,43214215
James Bay,http://www.jamesbay.com,PYRAMID STAGE,FRIDAY,13:00 - 14:00,59872716
James Hillard,,NYC DOWNLOW,FRIDAY,04:30 - 06:00,36470382
James Monro,http://www.djjamesmonro.com/,GLADE LOUNGE,FRIDAY,23:30 - 01:15,6761638
Jamie T,http://jamie-t.com/,OTHER STAGE,SUNDAY,20:15 - 21:15,6934647
Jamie xx,http://www.jamiexx.com/,THE PARK STAGE,FRIDAY,21:30 - 22:30,53248097
Jamz Supernova,,LA PUSSY PARLURE,SATURDAY,12:00 - 13:30,92712590
janco,,THE DOWNLOW RADIO,FRIDAY,22:00 - 00:00,13920199
Jane Weaver,http://www.janeweavermusic.com/,WILLIAM'S GREEN,SUNDAY,15:00 - 15:40,1089932
Jarrod Dickenson,http://www.jarroddickenson.com,ACOUSTIC STAGE,SATURDAY,13:35 - 14:15,48463354
Jason Baxter,,CROISSANT NEUF BANDSTAND,WEDNESDAY,17:00 - 18:00,16704159
Jasper James,https://soundcloud.com/djjasperjames,BEZ'S ACID HOUSE,SUNDAY,00:00 - 02:00,17391638
Jaz Delorean,,THE LIZARD STAGE,SUNDAY,01:00 - 02:30,15078356
Jazzuelle,https://www.facebook.com/Jazzuelle,THE BLUES,SUNDAY,23:30 - 01:00,83287883
JD McPherson,http://www.jdmcpherson.com/,ACOUSTIC STAGE,FRIDAY,17:25 - 18:10,63501635
Jeremy Hardy,,CABARET,SATURDAY,12:05 - 12:35,6822033
Jerome Hill,http://WWW.SOUNDCLOUD.COM/JEROMEHILL,THE CAVE,SATURDAY,00:00 - 01:00,6801199
Jerri Hart,,CROONER'S CORNER,THURSDAY,16:00 - 16:45,34742966
Jess Glynne,http://jessglynne.co.uk/,SONIC,SUNDAY,18:00 - 18:45,58086954
Jess Goyder,http://www.jessgoyder.com,SMALL WORLD STAGE,FRIDAY,17:15 - 18:15,74554483
Jessie Ware,http://jessieware.com/,JOHN PEEL STAGE,SATURDAY,18:15 - 19:10,58026864
Jesus,,WOW!,THURSDAY,23:00 - 03:00,1346171
Jez Hellard,http://www.jezhellard.com/htdocs/,SMALL WORLD STAGE,WEDNESDAY,23:15 - 00:15,60237695
Jez Hellard,,THE LIZARD STAGE,SUNDAY,19:00 - 20:00,60237695
JFB,https://soundcloud.com/jfbdj,HELL STAGE,SATURDAY,05:30 - 06:00,1310409
Jim Bitch,https://soundcloud.com/jimbit,THE CAVE,SUNDAY,04:00 - 05:00,65885624
Jimeoin,http://www.jimeoin.com,CABARET,FRIDAY,19:00 - 19:45,1040978
Jimi Needles,,HEAVEN,THURSDAY,21:00 - 22:00,16940585
Jinx In Dub,,THE CAVE,SUNDAY,00:00 - 01:00,15968666
Jo Girl,,DELUXE DINER,Thursday,13:30 - 15:00,103638182
Jo Nathan,,GENOSYS,SUNDAY,20:00 - 21:30,15022352
Joaquin Zihuatanejo,http://www.artspeakspoet.com,POETRY&WORDS,FRIDAY,18:10 - 18:55,10658406
Joe Claussell,,GENOSYS,SUNDAY,18:30 - 20:00,1091249
Joe Lycett,,CABARET,SUNDAY,23:28 - 23:58,13223396
Joey Page,http://www.joey-page.co.uk/,CABARET,FRIDAY,14:50 - 15:20,12842767
John E Vistic Experience,http://www.vistic.co.uk,THE BANDSTAND,SATURDAY,21:00 - 22:00,21305363
John Fairhurst,http://www.johnfairhurst.com,RABBIT HOLE,SUNDAY,14:45 - 15:15,16484268
John Hegley,http://www.johnhegley.co.uk,POETRY&WORDS,SATURDAY,18:10 - 18:55,1190123
John Otway,http://www.johnotway.com,CABARET,SATURDAY,15:00 - 15:30,1028652
John Pointer,http://www.patronism.com/johnpointer,TOAD HALL,WEDNESDAY,15:10 - 15:50,10918446
John Row,http://www.johnrow.com/,STORYTELLERS TENT,THURSDAY,18:00 - 20:00,30764539
Jolenes,https://www.youtube.com/watch?v=6mDacmB9Nmo,THE ROCKET LOUNGE,Wednesday,19:00 - 20:00,10641450
Jon Hicks,http://www.foolsparadise.co.uk/companies/jonhicks/,SENSATION SEEKERS STAGE,FRIDAY,14:15 - 14:30,14579737
Jon Hopkins,http://www.jonhopkins.co.uk/,THE PARK STAGE,SATURDAY,23:00 - 00:15,1096034
Jon Rundell,http://www.residentadvisor.net/dj/jonrundell,GLADE,THURSDAY,21:00 - 22:00,2025688
Jonathan Kay,http://www.jonathankay.co.uk,THE ASTROLABE THEATRE,FRIDAY,16:50 - 18:20,10174041
Jonny Turpentine,,WANGO RILEY'S TRAVELLING STAGE,THURSDAY,21:45 - 22:30,31845733
Jonny Woo,,NYC DOWNLOW,THURSDAY,01:55 - 02:00,20788414
Jono,,STONEBRIDGE,FRIDAY,17:00 - 18:00,10009137
Josh Caffe,,GENOSYS,FRIDAY,21:00 - 22:30,52795274
Josh Widdicombe,,CABARET,SATURDAY,13:15 - 13:45,58627548
Juck Juck Grunzie,https://www.facebook.com/juckjuckgrunzie,GULLY,FRIDAY,15:00 - 16:00,76215742
Jungle,http://junglejunglejungle.com/,OTHER STAGE,FRIDAY,16:30 - 17:30,1010840
Junior J,,BABYLON UPRISING,SATURDAY,12:00 - 13:00,2168834
Jus Now,https://www.facebook.com/Bunjigarlinmusic,GULLY,FRIDAY,21:30 - 23:00,76529817
Jus Now,,BABYLON UPRISING,THURSDAY,22:00 - 02:45,76529817
JUST A COUPLE OF MUMS,http://justacoupleofmums.com,VILLAGE INN,THURSDAY,23:00 - 01:30,93844100
Justin Robertson,https://www.facebook.com/djjustinrobertson,JAG'Z ACID LOUNGE,SUNDAY,01:20 - 03:10,1055461
Juwon Ogungbe,http://www.juwonogungbe.com,CABARET,FRIDAY,16:25 - 16:55,74496986
K.atou,,THE DOWNLOW RADIO,SATURDAY,04:30 - 06:00,16263182
K.B.S,https://soundcloud.com/djkbs,THE SPACEPORT,FRIDAY,15:00 - 17:30,52827206
K.O.G,,GREENPEACE,FRIDAY,16:00 - 16:45,34544660
K.O.G.,https://www.facebook.com/zongobrigade,AVALON STAGE,SUNDAY,11:30 - 12:10,14522145
Kamera,https://soundcloud.com/kameramusic,BEZ'S ACID HOUSE,FRIDAY,04:00 - 06:00,1171167
Kangaroo Moon,http://www.kangaroomoon.com/,SMALL WORLD STAGE,SUNDAY,23:15 - 00:30,5029
Kanye West,http://www.kanyewest.com,PYRAMID STAGE,SATURDAY,22:15 - 23:45,1037970
Kasai Allstars,http://www.crammed.be/index.php?id=34&art_id=73,WEST HOLTS,FRIDAY,16:00 - 17:00,12828511
Katch Pyro,https://soundcloud.com/katchpyro,SALON CAROUSEL,SATURDAY,03:00 - 04:00,54875707
Kate Tempest,http://katetempest.co.uk/,WOW!,SUNDAY,19:00 - 20:00,51839346
Kayo Chingonyi,http://kchingonyi.wordpress.com,POETRY&WORDS,SATURDAY,16:25 - 16:45,36906225
Kernow King,,CABARET,FRIDAY,18:40 - 18:55,75595600
Kero Kero Bonito,http://kerokerobonito.tumblr.com/,WOW!,THURSDAY,20:00 - 20:30,77088226
Keston Cobblers Club,http://kestoncobblers.club/,AVALON STAGE,SUNDAY,12:35 - 13:30,55193666
Kevin Eldon,,CABARET,FRIDAY,19:50 - 20:10,1246914
Kezia,http://www.keziaofficial.co.uk/,SMALL WORLD STAGE,THURSDAY,12:00 - 13:00,13507942
